STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE
AK,AK0023,002,Y,AK0023-002,BOOKMOBILE,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591031,BS,-4,N_23,1,1729,R_23,52,R_23,2024,08,00,00,00,-147.7384145,64.8387296,94840,13,02090000100,020900001002027,0200,21820,0,E,100,POINTADDRESS
AK,AK0023,003,Y,AK0023-003,NORTH POLE BRANCH LIBRARY,656 NORTH POLE HIGH SCHOOL BLVD.,NORTH POLE,99705,M,FAIRBANKS NORTH STAR,9074886101,BR,18410,R_23,0,1830,R_23,52,R_23,2024,08,00,00,00,-147.36566,64.74791,94840,23,02090001600,020900016002042,0200,21820,0,E,93,POI
AK,AK0023,004,Y,AK0023-004,FAIRBANKS NORTH STAR PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,CE,70456,R_23,0,2511,R_23,52,R_23,2024,08,00,00,00,-147.7384145,64.8387296,94840,13,02090000100,020900001002027,0200,21820,0,E,100,POINTADDRESS
AK,AK0025,002,Y,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,M,YUKON-KOYUKUK,9076561205,CE,1500,R_23,0,700,R_23,50,R_23,2024,08,00,00,00,-156.8815216,64.7495017,5129,43,02290000300,022900003002017,0200,-4,N,E,100,MANUAL
AK,AK0027,002,N,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,CE,2000,R_23,0,600,R_23,52,R_23,2024,08,00,00,00,-145.56129,62.10949,2674,43,02066000100,020660001001228,0200,-4,N,E,100,DISTANCEMARKER
AK,AK0028,002,Y,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,CE,3052,R_23,0,1352,R_23,52,R_23,2024,08,00,00,00,-135.7116901,58.4185422,2262,43,02105000400,021050004003146,0200,-4,N,E,100,MANUAL
AK,AK0029,002,Y,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,CE,8400,R_23,0,2340,R_23,50,R_23,2024,08,00,00,00,-135.4477853,59.2342209,2070,43,02100000100,021000001003009,0200,-4,N,E,100,STREETADDRESS
AK,AK0030,002,Y,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,CE,4560,R_23,0,816,R_23,51,R_23,2024,08,00,00,00,-149.0181333,63.8734183,1584,43,02068000100,020680001002178,0200,-4,N,E,98.34,STREETADDRESS
AK,AK0031,002,N,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,CE,750,R_23,0,903,R_23,42,R_23,2024,08,00,00,00,-132.6490406,55.4822294,5696,43,02198000100,021980001003460,0200,-4,N,E,100,MANUAL
AK,AK0032,002,Y,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,17000,R_23,0,2704,R_23,52,R_23,2024,08,00,00,00,-151.531634,59.6435451,61223,43,02122001000,021220010003006,0200,-4,N,E,100,POINTADDRESS
AK,AK0033,002,N,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,CE,2304,R_23,0,780,R_23,52,R_23,2024,08,00,00,00,-149.6412992,60.9187112,61223,42,02122000300,021220003001050,0200,-4,N,E,100,STREETADDRESS
AK,AK0035,002,Y,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,8000,R_23,0,1896,R_23,52,R_23,2024,08,00,00,00,-134.3952571,58.2768534,31555,33,02110000600,021100006002031,0200,27940,1,E,100,POINTADDRESS
AK,AK0035,003,Y,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,3025 DIMOND PARK LOOP,JUNEAU,99801,9672,JUNEAU,9077890125,BR,20000,R_23,0,2789,R_23,52,R_23,2024,08,00,00,00,-134.5892619,58.3777983,31555,33,02110000200,021100002004007,0200,27940,1,E,100,MANUAL
AK,AK0035,004,Y,AK0035-004,DOWNTOWN PUBLIC LIBRARY,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865249,CE,17000,R_23,0,2789,R_23,52,R_23,2024,08,00,00,00,-134.4045093,58.2985496,31555,41,02110000500,021100005002006,0200,27940,1,E,100,STREETADDRESS
AK,AK0037,002,Y,AK0038-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,M,KENAI PENINSULA,9072997428,CE,2553,IP20,0,480,IP20,36,IP20,2024,08,00,00,00,-151.26127,60.308007,61223,43,02122000701,021220007013071,0200,-4,N,E,100,POINTADDRESS
AK,AK0038,002,Y,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,20000,R_23,0,2961,R_23,52,R_23,2024,08,00,00,00,-151.2486134,60.5597341,61223,33,02122000600,021220006005033,0200,-4,N,E,100,POINTADDRESS
AK,AK0039,002,Y,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,CE,16726,R_23,0,2496,R_23,50,R_23,2024,08,00,00,00,-131.6513884,55.3492315,13738,41,02130000300,021300003001000,0200,28540,1,E,100,POINTADDRESS
AK,AK0040,002,Y,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,6487,KODIAK ISLAND,9074868686,CE,16000,R_23,0,2496,R_23,52,R_23,2024,08,00,00,00,-152.397723,57.7926192,12565,33,02150000300,021500003002009,0200,-4,N,E,100,POINTADDRESS
AK,AK0041,002,Y,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,CE,1700,R_23,0,2010,R_23,50,R_23,2024,08,00,00,00,-162.5873743,66.8993403,7361,43,02188000200,021880002001009,0200,-4,N,E,98.34,STREETADDRESS
AK,AK0044,002,Y,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,CE,2936,R_23,0,1000,R_23,50,R_23,2024,08,00,00,00,-155.5889643,62.9499387,5129,43,02290000400,022900004001288,0200,-4,N,E,100,MANUAL
AK,AK0046,002,Y,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,CE,990,R_23,0,1000,R_23,50,R_23,2024,08,00,00,00,-131.5751999,55.1284601,5696,43,02198940100,021989401002010,0200,-4,N,E,96.49,STREETINT
AK,AK0047,003,Y,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,M,BRISTOL BAY,9072466513,BR,840,R_23,0,768,IP20,32,IP20,2024,08,25,00,00,-157.0072593,58.7305945,844,43,02060000100,020600001001003,0200,-4,N,E,100,MANUAL
AK,AK0047,004,Y,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,CE,1456,R_23,0,3224,IP22,52,IP22,2024,08,25,00,00,-157.0169374,58.7274076,844,43,02060000100,020600001001066,0200,-4,N,E,100,MANUAL
AK,AK0048,002,N,AK0048-002,NENANA PUBLIC LIBRARY,106 EAST 2ND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,CE,2421,IP20,0,720,R_23,48,R_23,2024,08,00,00,00,-149.0956459,64.5623627,5129,43,02290000200,022900002002188,0200,-4,N,E,99.04,STREETADDRESS
AK,AK0051,002,Y,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,M,KENAI PENINSULA,9075673333,CE,3200,R_23,0,1040,R_23,52,R_23,2024,08,00,00,00,-151.6747847,60.0421959,61223,43,02122000800,021220008001043,0200,-4,N,E,100,POINTADDRESS
AK,AK0052,002,Y,AK0052-002,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,M,NOME,9074436628,CE,3086,R_23,0,2080,R_23,52,R_23,2024,08,00,00,00,-165.3981394,64.5026594,9763,43,02180000200,021800002003001,0200,-4,N,E,100,MANUAL
AK,AK0055,002,Y,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,CE,11922,R_23,0,1760,R_23,44,R_23,2024,08,00,00,00,-149.1129256,61.6000114,115239,23,02170001201,021700012012006,0200,11260,0,E,100,POINTADDRESS
AK,AK0056,002,Y,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,CE,1200,R_23,0,728,R_23,52,R_23,2024,08,00,00,00,-136.2315449,57.9603508,2262,43,02105000400,021050004003281,0200,-4,N,E,96.67,STREETADDRESS
AK,AK0057,002,Y,AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,CE,9700,R_23,0,2600,R_23,52,R_23,2024,08,00,00,00,-132.9550539,56.8109631,3427,43,02195000200,021950002002021,0200,-4,N,E,96.92,STREETADDRESS
AK,AK0058,002,Y,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074548185,CE,1360,IP22,0,780,R_23,52,R_23,2024,08,00,00,00,-152.8837465,57.8663839,12565,43,02150000100,021500001002283,0200,-4,N,E,100,POINTADDRESS
AK,AK0064,002,N,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,CE,2791,R_23,0,694,R_23,52,R_23,2024,08,00,00,00,-151.7146025,59.4387226,61223,43,02122001200,021220012001247,0200,-4,N,E,100,STREETADDRESS
AK,AK0065,002,Y,AK0065-002,SEWARD COMMUNITY LIBRARY & MUSEUM,239 6TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244082,CE,22542,R_23,0,2340,R_23,52,R_23,2024,08,00,00,00,-149.4372455,60.1025088,61223,43,02122001300,021220013002016,0200,-4,N,E,100,POINTADDRESS
AK,AK0067,002,Y,AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,CE,9920,R_23,0,2392,R_23,52,R_23,2024,08,00,00,00,-135.3339472,57.0497573,8282,22,02220000200,022200002004016,0200,-4,N,E,100,POINTADDRESS
AK,AK0068,002,Y,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,CE,5014,R_23,0,2544,R_23,52,R_23,2024,08,00,00,00,-135.3138967,59.4576019,1095,43,02230000100,022300001001089,0200,-4,N,E,98.54,STREETADDRESS
AK,AK0069,002,Y,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,21054,R_23,0,2704,R_23,52,R_23,2024,08,00,00,00,-151.0723854,60.4923396,61223,33,02122000500,021220005005027,0200,-4,N,E,100,POINTADDRESS
AK,AK0070,002,Y,AK0070-002,SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9078617640,CE,6258,R_23,0,2042,R_23,52,R_23,2024,08,00,00,00,-148.8774072,61.7110252,115239,42,02170000200,021700002001001,0200,11260,0,E,100,STREETADDRESS
AK,AK0072,002,Y,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9078617645,CE,7840,R_23,0,2072,R_23,52,R_23,2024,08,00,00,00,-150.0840522,62.2989572,115239,43,02170000102,021700001021000,0200,11260,0,E,100,STREETADDRESS
AK,AK0073,002,Y,AK0074-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,CE,848,IP21,0,-1,M_23,-1,M_23,2024,08,25,00,00,-152.0816283,65.1705465,5129,43,02290000200,022900002001302,0200,-4,N,E,98.16,STREETNAME
AK,AK0074,002,Y,AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,CE,896,R_23,0,500,R_23,49,R_23,2024,08,00,00,00,-135.2348273,57.783945,2262,43,02105000400,021050004002211,0200,-4,N,E,100,MANUAL
AK,AK0075,002,N,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANKS,9078835623,CE,1019,R_23,0,1386,R_23,52,R_23,2024,08,00,00,00,-142.98035,63.33543,7077,43,02240000100,022400001002043,0200,-4,N,E,97.56,DISTANCEMARKER
AK,AK0077,002,Y,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,M,VALDEZ-CORDOVA,9078354632,CE,15000,R_23,0,2496,R_23,52,R_23,2024,08,00,00,00,-146.3544579,61.1298628,6769,43,02063000300,020630003001023,0200,-4,N,E,100,STREETADDRESS
AK,AK0078,002,Y,AK0078-002,WASILLA PUBLIC LIBRARY,500 N CRUSEY STREET,WASILLA,99654,7189,MATANUSKA-SUSITNA,9073765913,CE,24400,R_23,0,2000,R_23,52,R_23,2024,08,00,00,00,-149.4296874,61.58386,115239,23,02170000800,021700008003024,0200,11260,0,E,100,POINTADDRESS
AK,AK0080,002,Y,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,MATANUSKA-SUSITNA,9074957323,CE,6265,R_23,0,2300,R_23,52,R_23,2024,08,00,00,00,-150.051764,61.7450956,115239,42,02170000402,021700004022032,0200,11260,0,E,100,MANUAL
AK,AK0081,002,Y,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,M,WRANGELL,9078743535,CE,5930,R_23,0,1700,R_23,50,R_23,2024,08,00,00,00,-132.386882,56.4731814,2064,43,02275000300,022750003002027,0200,-4,N,E,100,STREETADDRESS
AK,AK0085,004,N,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,M,VALDEZ-CORDOVA,9078223015,CE,1440,R_23,0,780,R_23,52,R_23,2024,08,00,00,00,-145.0076808,61.7273501,2674,43,02066000100,020660001002045,0200,-4,N,E,100,MANUAL
AK,AK0094,003,Y,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,M,NORTH SLOPE,9077635800,BR,2225,R_23,0,380,R_23,48,R_23,2024,08,00,00,00,-160.0329162,70.6371439,10603,43,02185000200,021850002002182,0200,-4,N,E,98.9,STREETADDRESSEXT
AK,AK0094,004,Y,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,M,NORTH SLOPE,9073685800,BR,2849,R_23,0,380,R_23,48,R_23,2024,08,00,00,00,-166.731772,68.3493853,10603,43,02185000200,021850002001075,0200,-4,N,E,96.74,STREETNAME
AK,AK0094,005,Y,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,M,NORTH SLOPE,9076615800,BR,1230,R_23,0,380,R_23,48,R_23,2024,08,00,00,00,-151.7387799,68.1403601,10603,43,02185000200,021850002003291,0200,-4,N,E,98.34,STREETADDRESS
AK,AK0094,006,Y,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,M,NORTH SLOPE,9076335800,BR,800,R_23,0,380,R_23,48,R_23,2024,08,00,00,00,-157.4193599,70.4806606,10603,43,02185000200,021850002002148,0200,-4,N,E,100,STREETADDRESS
AK,AK0094,007,Y,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,M,NORTH SLOPE,9076405800,BR,2880,R_23,0,380,R_23,48,R_23,2024,08,00,00,00,-143.6214731,70.130339,10603,43,02185000200,021850002003008,0200,-4,N,E,100,POINTADDRESS
AK,AK0094,008,Y,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310 3RD AVENUE,NUIQSUT,99789,M,NORTH SLOPE,9074805800,BR,1305,R_23,0,380,R_23,48,R_23,2024,08,00,00,00,-150.9988117,70.2185689,10603,43,02185000200,021850002003347,0200,-4,N,E,96.22,STREETNAME
AK,AK0094,009,Y,AK0094-009,KALI COMMUNITY/SCHOOL LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,M,NORTH SLOPE,9078335800,BR,888,R_23,0,380,R_23,48,R_23,2024,08,00,00,00,-163.0113935,69.7418696,10603,43,02185000200,021850002001001,0200,-4,N,E,96.89,STREETNAME
AK,AK0094,010,Y,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,M,NORTH SLOPE,9078524050,CE,11500,R_23,0,1768,R_23,52,R_23,2024,08,00,00,00,-156.7546645,71.2981587,10603,43,02185000100,021850001001069,0200,-4,N,T,96.67,STREETNAME
AK,AK0099,002,Y,AK0099-002,MOOSE PASS PUBLIC LIBRARY,33675 DEPOT ROAD,MOOSE PASS,99631,0017,KENAI PENINSULA,9072883111,CE,1200,R_23,0,753,R_23,52,R_23,2024,08,00,00,00,-149.3697429,60.4877586,61223,43,02122000300,021220003001199,0200,-4,N,E,100,STREETADDRESS
AK,AK0103,002,Y,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,99683,M,MATANUSKA-SUSITNA,9078617650,CE,2762,R_23,0,1300,R_23,52,R_23,2024,08,00,00,00,-150.2386913,62.3072393,115239,43,02170000101,021700001011183,0200,11260,0,E,100,POINTADDRESS
AK,AK0113,002,Y,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,216 THIRD STREET,OUZINKIE,99644,M,KODIAK ISLAND,9076802323,CE,600,R_23,0,1560,R_23,52,R_23,2024,08,00,00,00,-152.4950817,57.9227901,12565,42,02150000100,021500001002203,0200,-4,N,E,97.44,STREETNAME
AK,AK0115,002,Y,AK0115-002,UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE,UNALASKA,99685,M,ALEUTIANS WEST,9075815060,CE,12290,R_23,0,3350,R_23,50,R_23,2024,08,00,00,00,-166.5316846,53.871478,5160,43,02016000200,020160002002074,0200,-4,N,E,100,STREETADDRESS
AK,AK0116,001,Y,AK0116-002,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,99557,M,BETHEL,-3,CE,-3,U_23,-3,-3,U_23,-3,U_23,2024,08,23,00,00,-159.5408377,61.5827067,18224,43,02050000300,020500003001192,0200,-4,N,E,100,MANUAL
AK,AK0117,001,Y,AK0117-002,HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,99923,M,PR WALES-OUTER,2506369169,CE,1200,IP22,0,980,IP22,48,R_23,2024,08,00,00,00,-130.0257004,55.9164058,5696,43,02198000300,021980003001004,0200,-4,N,E,86.39,STREETNAME
AK,AK0124,001,N,AK0124-002,LAKE MINCHUMINA COMMUNITY LIBRARY,123 AIRPORT WAY,LAKE MINCHUMINA,99757,M,YUKON-KOYUKUK,9076743211,CE,1100,R_23,0,700,R_23,48,R_23,2024,08,00,00,00,-152.3123175,63.8826003,5129,43,02290000400,022900004001005,0200,-4,N,E,100,STREETADDRESS
AK,AK0126,001,Y,AK0126-002,IGIUGIG TRIBAL LIBRARY,1 AIRPORT WAY,IGIUGIG,99613,M,LAKE AND PENINSULA,9075333211,CE,840,R_23,0,540,R_23,45,R_23,2024,08,00,00,00,-155.8986471,59.3260931,1331,43,02164000100,021640001001586,0200,-4,N,E,100,MANUAL
