id,name,address,city,state,zip,latitude,longitude,phone,outlet_type
AK0038-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,AK,99610,60.308007,-151.26127,9072997428,CE
AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,AK,99611,60.5597341,-151.2486134,9072834378,CE
AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,AK,99901,55.3492315,-131.6513884,9072253331,CE
AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,AK,99615,57.7926192,-152.397723,9074868686,CE
AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,AK,99752,66.8993403,-162.5873743,9074422410,CE
AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,AK,99627,62.9499387,-155.5889643,9075243843,CE
AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,AK,99926,55.1284601,-131.5751999,9078866000,CE
AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,AK,99670,58.7305945,-157.0072593,9072466513,BR
AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,AK,99633,58.7274076,-157.0169374,9072464465,CE
AK0048-002,NENANA PUBLIC LIBRARY,106 EAST 2ND STREET,NENANA,AK,99760,64.5623627,-149.0956459,9078325812,CE
AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,AK,99639,60.0421959,-151.6747847,9075673333,CE
AK0052-002,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,AK,99762,64.5026594,-165.3981394,9074436628,CE
AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,AK,99645,61.6000114,-149.1129256,9077611371,CE
AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,AK,99832,57.9603508,-136.2315449,9077352500,CE
AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,AK,99833,56.8109631,-132.9550539,9077723349,CE
AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,AK,99550,57.8663839,-152.8837465,9074548185,CE
AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,AK,99663,59.4387226,-151.7146025,9072347662,CE
AK0065-002,SEWARD COMMUNITY LIBRARY & MUSEUM,239 6TH AVENUE,SEWARD,AK,99664,60.1025088,-149.4372455,9072244082,CE
AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,AK,99835,57.0497573,-135.3339472,9077478708,CE
AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,AK,99840,59.4576019,-135.3138967,9079832665,CE
AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,AK,99669,60.4923396,-151.0723854,9072624227,CE
AK0070-002,SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,AK,99674,61.7110252,-148.8774072,9078617640,CE
AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,AK,99676,62.2989572,-150.0840522,9078617645,CE
AK0074-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,AK,99777,65.1705465,-152.0816283,9073667356,CE
AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,AK,99841,57.783945,-135.2348273,9077362248,CE
AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,AK,99780,63.33543,-142.98035,9078835623,CE
AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,AK,99686,61.1298628,-146.3544579,9078354632,CE
AK0078-002,WASILLA PUBLIC LIBRARY,500 N CRUSEY STREET,WASILLA,AK,99654,61.58386,-149.4296874,9073765913,CE
AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,AK,99688,61.7450956,-150.051764,9074957323,CE
AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,AK,99929,56.4731814,-132.386882,9078743535,CE
AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,AK,99573,61.7273501,-145.0076808,9078223015,CE
AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,AK,99782,70.6371439,-160.0329162,9077635800,BR
AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,AK,99766,68.3493853,-166.731772,9073685800,BR
AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,AK,99721,68.1403601,-151.7387799,9076615800,BR
AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,AK,99791,70.4806606,-157.4193599,9076335800,BR
AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,AK,99747,70.130339,-143.6214731,9076405800,BR
AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310 3RD AVENUE,NUIQSUT,AK,99789,70.2185689,-150.9988117,9074805800,BR
AK0094-009,KALI COMMUNITY/SCHOOL LIBRARY,1029 QASIGIALIK STREET,POINT LAY,AK,99759,69.7418696,-163.0113935,9078335800,BR
AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,AK,99723,71.2981587,-156.7546645,9078524050,CE
AK0099-002,MOOSE PASS PUBLIC LIBRARY,33675 DEPOT ROAD,MOOSE PASS,AK,99631,60.4877586,-149.3697429,9072883111,CE
AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,AK,99683,62.3072393,-150.2386913,9078617650,CE
AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,216 THIRD STREET,OUZINKIE,AK,99644,57.9227901,-152.4950817,9076802323,CE
AK0115-002,UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE,UNALASKA,AK,99685,53.871478,-166.5316846,9075815060,CE
AK0116-002,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,AK,99557,61.5827067,-159.5408377,-3,CE
AK0117-002,HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,AK,99923,55.9164058,-130.0257004,2506369169,CE
AK0124-002,LAKE MINCHUMINA COMMUNITY LIBRARY,123 AIRPORT WAY,LAKE MINCHUMINA,AK,99757,63.8826003,-152.3123175,9076743211,CE
AK0126-002,IGIUGIG TRIBAL LIBRARY,1 AIRPORT WAY,IGIUGIG,AK,99613,59.3260931,-155.8986471,9075333211,CE
AK0127-002,COFFMAN COVE COMMUNITY LIBRARY,108 NW DENALI ALLEY,COFFMAN COVE,AK,99918,56.0139009,-132.8277885,9073292080,CE
AK0130-002,THORNE BAY PUBLIC LIBRARY,120 FREEMAN DRIVE,THORNE BAY,AK,99919,55.6862677,-132.5272703,9078283303,CE
AK0134-001,WHALE PASS COMMUNITY LIBRARY,BEACH ROAD LOT 3 BLOCK 14,WHALE PASS,AK,99950,56.1142785,-133.1214178,9078465226,CE
AK0137-001,KLUKWAN COMMUNITY/SCHOOL LIBRARY,315 MISSION STREET,KLUKWAN,AK,99827,59.2325718,-135.4481046,9077675551,CE
AK0139-001,SAMUEL B. FOSS LIBRARY,1 WATERFRONT WAY,PEDRO BAY,AK,99647,59.78509,-154.11186,9078502225,CE
AK0140-001,EDNA BAY COMMUNITY LIBRARY,100 SCHOOL HOUSE ROAD,EDNA BAY,AK,99950,55.8338189,-133.05399,9075946109,CE
AK0005-002,CITY OF ADAK PUBLIC LIBRARY,PO BOX 2011,ADAK,AK,99546,51.886612,-176.760204,9075924500,CE
AK0118-002,SHIRLY JACKSON COMMUNITY LIBRARY,175 LIBRARY DR,KAKE,AK,99830,56.9747591,-133.941086,9077853741,CE
AL0001-003,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,98 18TH STREET EAST,JASPER,AL,35501,33.8334779,-87.2747459,2052212584,CE
100-001,ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41,ARLEY,AL,35541,34.0784663,-87.212368,2053870129,CE
100-002,DOUBLE SPRINGS PUBLIC LIBRARY,637 BLAKE DRIVE,DOUBLE SPRINGS,AL,35553,34.1483158,-87.3886582,2054892412,CE
100-004,HALEYVILLE PUBLIC LIBRARY,913 20TH STREET,HALEYVILLE,AL,35565,34.2262677,-87.6236178,2054867450,CE
100-005,JASPER PUBLIC LIBRARY,98 EAST 18TH STREET,JASPER,AL,35501,33.8334779,-87.2747459,2052218512,CE
100-006,SUMITON PUBLIC LIBRARY,416 STATE STREET,SUMITON,AL,35148,33.7534234,-87.0494589,2056487451,CE
100-008,CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET,HEFLIN,AL,36264,33.6438309,-85.5890558,2564637125,CE
101-000,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET,ROANOKE,AL,36274,33.1495522,-85.3704871,3348632632,CE
101-001,ASHLAND CITY PUBLIC LIBRARY,11 2ND AVENUE NORTH,ASHLAND,AL,36251,33.2748134,-85.8379012,2563543427,CE
101-002,SYLACUGA - B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,AL,35150,33.1717863,-86.2506871,2562490961,CE
999-028,CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET,CENTRE,AL,35960,34.1494322,-85.6763325,2569275838,CE
101-004,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,AL,35044,33.2775388,-86.3556279,2563787239,CE
101-005,LINCOLN PUBLIC LIBRARY,47475 US HWY 78,LINCOLN,AL,35096,33.6038567,-86.1232068,2057634080,CE
101-006,LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49,LINEVILLE,AL,36266,33.3108553,-85.7544835,2563965162,CE
101-007,HEFLIN - LUCILE MORGAN PUBLIC LIBRARY,541 ROSS STREET,HEFLIN,AL,36264,33.6438617,-85.5878936,2564632259,CE
101-008,OXFORD PUBLIC LIBRARY,110 EAST 6TH STREET,OXFORD,AL,36203,33.609697,-85.8354595,2568311750,CE
101-009,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,202 SOUTH STREET EAST,TALLADEGA,AL,35160,33.4331917,-86.0995765,2563624211,CE
999-070,ABBEVILLE MEMORIAL LIBRARY,301 KIRKLAND STREET,ABBEVILLE,AL,36310,31.5673406,-85.2503879,3345852818,CE
AL0023-003,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,17 PARK STREET,HEADLAND,AL,36345,31.3519047,-85.3418884,3346932706,CE
999-035,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,164 SOUTH MAIN STREET,BRUNDIDGE,AL,36010,31.7184017,-85.8156685,3347352145,CE
999-061,OZARK - DALE COUNTY PUBLIC LIBRARY,296 NORTH UNION AVENUE,OZARK,AL,36360,31.4520871,-85.6333866,3347745480,CE
999-079,CLIO - ELTON B. STEPHENS LIBRARY,17 SCHOOL STREET,CLIO,AL,36017,31.7026972,-85.6149784,3342074184,CE
517-001,LOUISVILLE PUBLIC LIBRARY,1951 MAIN STREET,LOUISVILLE,AL,36048,31.7839294,-85.5552977,3342665210,CE
517-003,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,1318 HINTON WATERS AVENUE,MIDLAND CITY,AL,36350,31.3179264,-85.4949287,3349831191,CE
999-077,NEWTON PUBLIC LIBRARY,209 OATES DRIVE,NEWTON,AL,36352,31.3313897,-85.5962824,3342993361,CE
999-078,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,45 NORTH MIDWAY STREET,CLAYTON,AL,36016,31.8813775,-85.4495925,3347753506,CE
517-004,TROY PUBLIC LIBRARY,500 EAST WALNUT STREET,TROY,AL,36079,31.8083921,-85.9666027,3345661314,CE
999-060,UNION SPRINGS PUBLIC LIBRARY,103 NORTH PRAIRIE STREET,UNION SPRINGS,AL,36089,32.1436028,-85.716184,3347382760,CE
999-058,ANDALUSIA PUBLIC LIBRARY,212 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,31.3065851,-86.4830645,3342226612,CE
103-001,BRANTLEY PUBLIC LIBRARY,10 MLK DRIVE,BRANTLEY,AL,36009,31.5841065,-86.2557314,3345278624,CE
103-002,ELBA PUBLIC LIBRARY,406 SIMMONS STREET,ELBA,AL,36323,31.4146036,-86.0663378,3348976921,CE
999-034,GENEVA - EMMA KNOX KENAN LIBRARY,312 SOUTH COMMERCE STREET,GENEVA,AL,36340,31.035669,-85.8648253,3346842459,CE
103-004,ENTERPRISE PUBLIC LIBRARY,101 EAST GRUBBS STREET,ENTERPRISE,AL,36330,31.3139725,-85.852825,3343472636,CE
999-041,FLORALA PUBLIC LIBRARY,1214 FOURTH STREET,FLORALA,AL,36442,31.0056815,-86.3271629,3348583525,CE
103-006,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,101 EAST FULTON STREET,HARTFORD,AL,36344,31.0982882,-85.696714,3345882384,CE
AL0043-002,LUVERNE PUBLIC LIBRARY,148 EAST THIRD STREET,LUVERNE,AL,36049,31.7162703,-86.2612954,3343355326,CE
103-008,OPP PUBLIC LIBRARY,1604 NORTH MAIN STREET,OPP,AL,36467,31.3053912,-86.2549692,3344936423,CE
103-009,SAMSON PUBLIC LIBRARY,200 NORTH JOHNSON STREET,SAMSON,AL,36477,31.1167225,-86.0460151,3348987806,CE
103-010,SLOCOMB PUBLIC LIBRARY,134 SOUTH DALTON AVENUE,SLOCOMB,AL,36375,31.1073924,-85.5937027,3348869009,CE
103-011,HORSESHOE BEND REGIONAL LIBRARY,207 NORTH WEST STREET,DADEVILLE,AL,36853,32.8315601,-85.7654558,2568259232,CE
104-001,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,318 CHURCH STREET,ALEXANDER CITY,AL,35010,32.9411837,-85.9538698,2564097001,CE
104-000,MAMIE`S PLACE,284 CHURCH STREET,ALEXANDER CITY,AL,35010,32.941507,-85.9538774,2564097015,BR
AL0049-003,DADEVILLE PUBLIC LIBRARY,205 NORTH WEST STREET,DADEVILLE,AL,36853,32.8315361,-85.7654562,2568257820,CE
104-002,GOODWATER PUBLIC LIBRARY,62 COOSA COUNTY ROAD 66,GOODWATER,AL,35072,33.0636632,-86.0549641,2568395741,CE
104-003,AUBURN PUBLIC LIBRARY,749 EAST THACH AVE,AUBURN,AL,36830,32.6044655,-85.4655676,3345013190,CE
104-004,OPELIKA PUBLIC LIBRARY,200 SOUTH 6TH STREET,OPELIKA,AL,36801,32.649174,-85.3758839,3347055380,CE
104-005,MILLBROOK PUBLIC LIBRARY,3650 GRANDVIEW ROAD,MILLBROOK,AL,36054,32.4768617,-86.3625796,3342856688,CE
104-006,ROCKFORD PUBLIC LIBRARY,9688 US HWY 231,ROCKFORD,AL,35136,32.8889443,-86.2195974,2563774911,CE
104-007,TALLASSEE COMMUNITY PUBLIC LIBRARY,99 FREEMAN AVENUE,TALLASSEE,AL,36078,32.5350413,-85.8835499,3342832732,CE
104-008,WETUMPKA PUBLIC LIBRARY,212 SOUTH MAIN STREET,WETUMPKA,AL,36092,32.5328023,-86.2064201,3345671308,CE
104-009,FLORENCE - LAUDERDALE PUBLIC LIBRARY,350 NORTH WOOD AVENUE,FLORENCE,AL,35630,34.8037252,-87.6747213,2567646564,CE
516-001,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,511 NORTH MAIN STREET,TUSCUMBIA,AL,35674,34.7366048,-87.7035596,2563837065,CE
999-039,LEIGHTON PUBLIC LIBRARY,8740 MAIN STREET,LEIGHTON,AL,35646,34.700841,-87.5290224,2564465380,CE
999-042,MUSCLE SHOALS PUBLIC LIBRARY,1918 EAST AVALON AVENUE,MUSCLE SHOALS,AL,35661,34.7444318,-87.6466106,2563869212,CE
999-050,ROGERSVILLE PUBLIC LIBRARY,74 BANK STREET,ROGERSVILLE,AL,35652,34.8247017,-87.2919832,2562470151,CE
516-004,SHEFFIELD PUBLIC LIBRARY,316 NORTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,34.7610575,-87.6985662,2563865633,CE
999-066,NORTHWEST REGIONAL LIBRARY,185 ASHWOOD DRIVE,WINFIELD,AL,35594,33.9308428,-87.8150203,2054872330,CE
106-000,HAMILTON - CLYDE NIX PUBLIC LIBRARY,350 BEXAR AVENUE WEST,HAMILTON,AL,35570,34.1433955,-87.9928551,2059214290,CE
106-001,KENNEDY PUBLIC LIBRARY,17885 HIGHWAY 96,KENNEDY,AL,35574,33.5849902,-87.987359,2055963670,CE
106-002,GUIN - MCHS COMMUNITY LIBRARY,8115 U.S. HIGHWAY 43,GUIN,AL,35563,33.9714205,-87.9157865,2054682544,CE
106-003,MILLPORT PUBLIC LIBRARY,920 BLACK STREET,MILLPORT,AL,35576,33.561504,-88.0799995,2056624286,CE
106-004,RUSSELLVILLE PUBLIC LIBRARY,110 EAST LAWRENCE STREET,RUSSELLVILLE,AL,35653,34.5040201,-87.7280257,2563321535,CE
106-005,SULLIGENT PUBLIC LIBRARY,514 ELM STREET,SULLIGENT,AL,35586,33.903899,-88.1349895,2056988631,CE
106-006,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,110 FIRST AVENUE WEST,VERNON,AL,35592,33.7579528,-88.1108251,2056956123,CE
106-007,RED BAY - WEATHERFORD PUBLIC LIBRARY,307 4TH AVENUE SOUTH,RED BAY,AL,35582,34.4422896,-88.1463746,2563569255,CE
106-008,WINFIELD PUBLIC LIBRARY,185 ASHWOOD DRIVE,WINFIELD,AL,35594,33.9308428,-87.8150203,2054872484,CE
106-009,ATHENS - LIMESTONE PUBLIC LIBRARY,603 JEFFERSON STREET,ATHENS,AL,35611,34.7958855,-86.9718472,2562321233,CE
107-001,DECATUR PUBLIC LIBRARY,504 CHERRY STREET NE,DECATUR,AL,35602,34.6059653,-86.9813679,2563532993,CE
107-002,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,152 SPARKMAN STREET NW,HARTSELLE,AL,35640,34.4441428,-86.9349729,2567739880,CE
107-003,LAWRENCE COUNTY PUBLIC LIBRARY,401 COLLEGE STREET,LAWRENCE,AL,35650,34.4760675,-87.2948002,2569740883,CE
AL0079-003,BALDWIN COUNTY LIBRARY COOPERATIVE,22251 PALMER STREET,ROBERTSDALE,AL,36567,30.550713,-87.7168675,2519704010,CE
AL0080-004,DAPHNE PUBLIC LIBRARY,2607 U.S. HIGHWAY 98,DAPHNE,AL,36526,30.6172871,-87.9048946,2516202500,CE
500-000,FAIRHOPE PUBLIC LIBRARY,501 FAIRHOPE AVENUE,FAIRHOPE,AL,36532,30.5230973,-87.9009865,2519287483,CE
500-001,FOLEY PUBLIC LIBRARY,319 EAST LAUREL AVENUE,FOLEY,AL,36535,30.4064361,-87.6793929,2519437665,CE
500-002,BAY MINETTE PUBLIC LIBRARY,205 WEST SECOND STREET,BAY MINETTE,AL,36507,30.8823403,-87.7767635,2515801648,CE
999-072,LOXLEY PUBLIC LIBRARY,1001 EAST LOXLEY AVENUE,LOXLEY,AL,36551,30.6199479,-87.752934,2519645695,CE
500-004,OSCAR JOHNSON MEMORIAL LIBRARY,21967 SIXTH STREET,SILVERHILL,AL,36576,30.5449864,-87.7518913,2519455201,CE
500-005,ROBERTSDALE PUBLIC LIBRARY,18301 PENNSYLVANIA STREET,ROBERTSDALE,AL,36567,30.5536956,-87.7118958,2519478960,CE
500-006,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,221 WEST 19TH AVENUE,GULF SHORES,AL,36542,30.2724328,-87.6901899,2519681176,CE
500-008,ADAMSVILLE PUBLIC LIBRARY,4825 MAIN STREET,ADAMSVILLE,AL,35005,33.6004158,-86.9536478,2056743399,CE
501-001,BESSEMER PUBLIC LIBRARY,400 19TH STREET N,BESSEMER,AL,35020,33.4033536,-86.954954,2054287882,CE
501-002,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,50 OAK STREET,MOUNTAIN BROOK,AL,35213,33.5014668,-86.7564382,2058790459,CE
501-003,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,4615 GARY AVENUE,FAIRFIELD,AL,35064,33.4911035,-86.915373,2057836007,CE
501-004,FULTONDALE PUBLIC LIBRARY,500 BYRD LANE,FULTONDALE,AL,35068,33.613815,-86.7952405,2058496335,CE
501-005,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,995 MT. OLIVE ROAD,GARDENDALE,AL,35071,33.6501596,-86.8184878,2056316639,CE
501-006,GRAYSVILLE PUBLIC LIBRARY,315 SOUTH MAIN STREET,GRAYSVILLE,AL,35073,33.6265764,-86.9733585,2056743040,CE
501-007,HOMEWOOD PUBLIC LIBRARY,1721 OXMOOR ROAD,HOMEWOOD,AL,35209,33.4754382,-86.7955213,2053326600,CE
501-008,HOOVER PUBLIC LIBRARY,200 MUNICIPAL DRIVE,HOOVER,AL,35216,33.387289,-86.8049178,2054447800,CE
501-009,HUEYTOWN PUBLIC LIBRARY,1372 HUEYTOWN ROAD,HUEYTOWN,AL,35023,33.4480987,-86.9970024,2054911443,CE
501-010,IRONDALE PUBLIC LIBRARY,105 20TH STREET SOUTH,IRONDALE,AL,35210,33.5377537,-86.706527,2059511415,CE
501-011,LEEDS - JANE CULBRETH LIBRARY,8104 PARKWAY DRIVE,LEEDS,AL,35094,33.5434829,-86.5416466,2056995962,CE
501-012,MIDFIELD PUBLIC LIBRARY,400 BRELAND DRIVE,MIDFIELD,AL,35228,33.4573665,-86.9164577,-3,CE
501-013,PLEASANT GROVE PUBLIC LIBRARY,501 PARK ROAD,PLEASANT GROVE,AL,35127,33.4908882,-86.9707568,2057441742,CE
501-014,TARRANT PUBLIC LIBRARY,1143 FORD AVENUE,TARRANT,AL,35217,33.5831087,-86.7699426,2058410575,CE
501-015,TRUSSVILLE PUBLIC LIBRARY,201 PARKWAY DRIVE,TRUSSVILLE,AL,35173,33.6266603,-86.6047448,2056552022,CE
501-016,VESTAVIA HILLS LIBRARY IN THE FOREST,1221 MONTGOMERY HIGHWAY,VESTAVIA HILLS,AL,35216,33.4313886,-86.7884937,2059780161,CE
